car_id,is_finished,total_waiting_time_minutes,initial_soc,final_soc,charging_stops,route_length_nodes,total_energy_received_charging_kwh,total_energy_consumed_driving_kwh,total_charging_cost,total_charging_time_minutes,total_travel_time_minutes,total_distance_units,battery_depleted,satisfied_facilities,assigned_stations
0,False,0.0,17.0,16.63,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
1,False,0.0,32.38743155902721,32.39,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
2,False,0.0,17.0,17.0,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
3,False,0.0,34.47366443356304,34.47,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
4,False,0.0,17.0,17.0,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
5,False,0.0,39.58916442912107,39.59,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
6,False,0.0,38.198197133259306,38.2,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
7,False,0.0,17.46076579034903,17.46,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
8,False,0.0,32.84066978354965,32.84,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
9,False,0.0,17.0,17.0,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
10,False,0.0,17.0,17.0,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
11,False,0.0,26.865100370915872,26.87,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
12,False,0.0,17.0,17.0,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
13,False,0.0,33.33115128859979,33.33,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
14,False,0.0,17.0,17.0,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
15,False,0.0,41.060264649208875,41.06,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
16,False,0.0,25.024281140693105,25.02,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
17,False,0.0,17.0,17.0,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
18,False,0.0,41.42734099143909,41.43,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
19,False,0.0,25.15610911882851,25.16,0,0,0,0.0,0,0.0,0.0,0,False,0.0,
